YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR,RH2M,T2M_MIN,WS10M_RANGE,Rainfall
2000,2,7,4.84,23.39,0.54,79.25,10.62,1.74,1.625487447
2000,2,8,4.36,23.29,0.01,77.31,9.69,2.02,1.953757524
2000,2,9,4.54,21.27,0.12,70.94,8.86,2.71,2.4032619
2000,2,10,5.31,21.73,0,65.19,7.66,3.02,0
2000,2,11,5.19,23.19,0,61.69,5.83,1.82,0
2000,2,12,5.14,22.35,0.06,66.81,8.08,1.93,0
2000,2,13,5.52,24.69,0,74.31,9.64,1.32,0
2000,2,14,5.61,25.08,0.01,73.25,9.08,1.24,0
2000,2,15,5.41,23.75,0,62.69,8.83,1.58,0
2000,2,16,5.63,24.48,0,60.94,7.09,1.59,0
2000,2,17,5.28,24.35,0,62.12,8.28,2.48,0
2000,2,18,5.65,24.14,0,61.12,8.65,1.91,0
2000,2,19,5.55,21.8,0.05,55.88,7.33,2.61,0
2000,2,20,5.5,23.13,0,52.69,6.85,2.91,0
2000,2,21,4.81,23.83,0,54.06,7.27,2.98,0
2000,2,22,5.57,23.87,0,57.31,6.3,2.11,0
2000,2,23,5.52,23.38,0,56.12,7.73,2.77,0
2000,2,24,5.5,24.15,3.79,57.06,7.26,3.31,0
2000,2,25,5.77,25.33,0,54.38,6.58,3.08,0
2000,2,26,5.6,23.68,0,55.69,6.55,3.97,0
2000,2,27,5.68,23.27,0,50,7.65,2.23,0
2000,2,28,5.61,24.56,0,47.56,6.69,2.27,0
2000,2,29,5.98,26.57,0,52.38,7.4,2.33,0
2000,3,1,3.65,26.06,0.01,60,9.51,2.93,0
2000,3,2,3.38,26.22,3.5,63.69,12.23,3.35,1.828318596
2000,3,3,3.72,26.69,2.4,65.12,13.55,2.73,0.725975811
2000,3,4,5.33,27.19,3.21,61.94,12.88,2.97,0
2000,3,5,5.85,29.02,0.06,60.56,12.58,2.84,0
2000,3,6,5.91,28.94,0.98,63.19,13.67,2.47,6.229708195
2000,3,7,5.36,28.74,1.32,62.25,14.54,2.18,1.916311622
2000,3,8,3.49,27.38,4.17,57,13.86,2.03,7.323159695
2000,3,9,6.26,26.88,0.04,58.88,13.47,3.4,1.832299113
2000,3,10,5.32,27.73,0,48.69,11.24,2.62,0
2000,3,11,4.18,27.52,0,52.44,9.26,2.66,0
2000,3,12,3.34,28.06,3.88,60.94,11.4,2.52,1.027322054
2000,3,13,4.93,28.39,2.07,73.38,14.92,1.91,7.385812759
2000,3,14,5.24,28.27,8.23,75.19,17.18,1.84,5.003890038
2000,3,15,5.63,27.01,1.75,67.19,15.37,3.21,1.363324761
2000,3,16,5.95,27.44,0,48.5,11.37,3.54,0
2000,3,17,5.18,27.34,0.03,52.94,9.67,3.24,0
2000,3,18,5.84,29.22,0,49.94,11.1,2.24,0
2000,3,19,6.34,30.13,0.01,55,12.45,2.71,0
2000,3,20,6.94,29.45,0,60.75,13.51,2.48,0
2000,3,21,6.34,29.78,0.06,52.69,11.79,1.91,0
2000,3,22,6.18,31.05,0,49.12,10.99,3.27,0
2000,3,23,5.04,30.91,0,48.31,11.96,2.23,0
2000,3,24,6.97,30.13,0.16,63.44,14.14,1.99,0
2000,3,25,7,31.01,0,52.62,13.09,3.05,0
2000,3,26,5.9,30.87,0,51.19,11.26,1.88,0
2000,3,27,6.81,33.39,0.02,46.81,14.15,1.62,0
2000,3,28,6.03,33.91,0.13,47.56,15.5,2.05,0
2000,3,29,5.25,31.76,0.53,57.31,16.8,2.24,0.290145725
2000,3,30,5.87,32.01,0.02,58.75,17.13,2.99,1.548538327
2000,3,31,4.24,32.19,0.02,61.88,16.54,2.28,0
2000,4,1,4.81,33.1,0.38,55.69,17.73,2.95,0.794268191
2000,4,2,5.41,33.46,1.67,54,17.8,3.87,0
2000,4,3,6.3,33.72,0.26,60.12,18.37,4.05,0
2000,4,4,6.68,33.67,0.48,53.25,16.59,2.45,0
2000,4,5,6.53,33.66,2.54,47.12,15.65,4.1,0
2000,4,6,6.52,33.56,1.98,54.06,17.62,4.22,0
2000,4,7,5.83,34.11,2.48,57.69,17.3,3.86,0
2000,4,8,5.78,34.19,1.05,61.12,17.9,3.02,0
2000,4,9,5.79,34.34,1.62,57.62,17.42,2.91,0
2000,4,10,6.91,33.42,8.92,64,19.65,2.67,2.756877422
2000,4,11,5.28,34.37,1.78,57.88,19.16,2.2,0
2000,4,12,6.28,32.1,12.73,65.25,19.25,2.09,6.931991577
2000,4,13,5.17,32.33,0,66.62,18.51,2.14,0
2000,4,14,4.59,32.57,3.08,67.5,18.52,1.86,0.163962871
2000,4,15,5.65,32.78,0.04,63.19,17.84,1.52,2.850042105
2000,4,16,5.95,32.27,5.36,63.75,18.72,1.7,0
2000,4,17,5.31,32.4,7.22,65.38,18.55,2.98,12.0186348
2000,4,18,5.64,32.44,0.24,66.38,19.62,2.55,1.581370831
2000,4,19,5.41,33.73,0.86,65.44,20.64,2.8,0.309707671
2000,4,20,4.85,34.17,14.66,67.06,21.48,2.18,0.723469555
2000,4,21,5.52,33.83,5.11,68.31,21.1,2.93,19.65638542
2000,4,22,5,33.05,0.31,67.5,20.62,4.26,3.079141855
2000,4,23,3.74,34.69,4.87,65,22.71,2.73,0.910904884
2000,4,24,3.25,29.84,16.26,79.38,22.21,1.95,10.78108501
2000,4,25,2.77,29.69,14.85,77.12,19.84,2.23,4.600440979
2000,4,26,4.68,30.37,2.25,69.31,18.64,1.9,18.54383278
2000,4,27,5.42,32.53,7.03,66.94,18.43,2.11,0.264836639
2000,4,28,4.02,31.3,72.31,78.81,20.31,2.07,43.64747238
2000,4,29,4.02,32.11,17.43,78.06,21.26,3.68,20.5993042
2000,4,30,5.17,30.85,28.76,78.06,23.58,3.62,25.69247627
2000,5,1,3.89,31.73,20.35,76,22.65,3.7,22.55881882
2000,5,2,4.83,32.38,8.45,73.62,21.65,2.6,16.78460503
2000,5,3,6.66,30.5,0.01,73.88,20.22,2.24,2.741098404
2000,5,4,7.88,31.33,0,72.19,19.94,1.46,0
2000,5,5,7.12,32.27,0,76,20.71,1.23,0
2000,5,6,6.86,32.81,0.73,68.75,21.25,1.05,0
2000,5,7,6.77,30.85,0.77,75.81,21.89,1.31,0.983051956
2000,5,8,5.8,32.5,0.11,74.81,20.32,1.6,0.355252922
2000,5,9,7.19,32.61,0.03,74.44,21.05,1.7,3.854252815
2000,5,10,6.26,34.43,0.25,71.75,20.86,1.7,0
2000,5,11,7.28,35.38,0.26,68.81,22.08,1.04,1.366357327
2000,5,12,7.57,36.4,0.04,64.62,22.51,1.78,0
2000,5,13,7.15,37.39,0.08,64.62,22.23,2.34,0
2000,5,14,5.3,36.03,1.81,68.19,22.78,1.82,0
2000,5,15,6.49,36.15,4.63,71.62,23.56,1.98,0.682936907
2000,5,16,6.1,33.96,19.45,75.12,23.94,0.7,37.19148254
2000,5,17,5.69,33.78,12.93,75.31,23.73,1.29,16.92798805
2000,5,18,4.77,31.01,38.75,84,23.46,1.24,22.99734306
2000,5,19,2.72,29.76,25.44,85.19,20.9,3.8,23.1016922
2000,5,20,6.01,26.71,0.54,80.94,20.18,3.88,16.7588501
2000,5,21,6.31,26.92,5.32,88.19,20.66,3.39,0.728723884
2000,5,22,2.27,26.56,19.88,90.94,20.71,2.43,10.65607262
2000,5,23,3.61,33.46,1.34,72.5,20.05,1.51,23.15991402
2000,5,24,7.64,29.69,4.51,84.81,22.25,3.32,2.117828131
2000,5,25,5.69,34.46,4.32,72.81,20.9,1.41,12.32050514
2000,5,26,1.29,30.17,37.33,86.81,24.5,2.24,24.16369629
2000,5,27,2.99,33.48,23.46,78.81,23.31,2.85,24.283741
2000,5,28,1.94,31.82,40.13,81.81,22.51,2.15,27.36343956
2000,5,29,1.31,33.08,8.23,77.75,22.4,1.84,20.54922295
2000,5,30,6.73,32.19,7.75,78,22.44,0.98,11.79047871
2000,5,31,6.54,32.81,71.98,77.5,22.36,1.12,4.188681602
2000,6,1,4.36,33.61,21.02,74.75,22.81,1.15,29.61354637
2000,6,2,4.6,33.48,1.18,73.56,24.21,0.86,2.185096502
2000,6,3,7.94,35.17,0,67.69,23.07,1.66,0.346143842
2000,6,4,7.58,34.79,0.09,73.19,23.4,2.94,1.97782433
2000,6,5,6.85,30.4,1.18,83.44,24.61,2.43,38.40944672
2000,6,6,4.65,30.82,11.14,83.69,23.97,1.65,23.70484924
2000,6,7,3.41,31.69,8.78,85.88,24.58,1.27,8.502770424
2000,6,8,6.78,31.82,4.7,84.75,23.86,2.4,17.91801071
2000,6,9,6.19,33.43,1.43,79.31,24.02,2.85,17.94705772
2000,6,10,4.15,33.48,1.08,80.12,25.48,2.3,11.57789612
2000,6,11,2.79,29.62,5.46,87.56,25.13,1.2,7.643019676
2000,6,12,6.22,28.67,38.84,91.94,24,2.24,42.39786148
2000,6,13,2.49,31.53,15.39,81,23.32,2.35,31.7399044
2000,6,14,5.09,33.02,2.62,74.19,22.88,2.32,3.257684708
2000,6,15,6.02,33.33,6.66,76.56,22.56,0.91,0.687033415
2000,6,16,6.32,32.54,1.1,80.38,23.86,1.38,28.64934731
2000,6,17,6.33,34.04,1.17,80.5,24.33,2.36,0.118417628
2000,6,18,7.05,31.88,16.94,82.69,25.26,2.44,2.051935434
2000,6,19,5.3,32.92,4.89,80,24.57,1.59,22.79377365
2000,6,20,5.37,33.82,5.31,80.62,24.06,1.93,0.741018057
2000,6,21,3.43,30.05,9.97,86.88,24.03,1.29,48.90631485
2000,6,22,1.51,29.98,50.22,87.94,23.73,1.83,38.21416855
2000,6,23,0.74,30.26,65.48,90.81,23.7,2.53,28.70011139
2000,6,24,6.55,31.83,50.9,86.62,24.21,1.45,43.3116188
2000,6,25,5.08,32.15,12.46,84.75,24.28,2.54,38.55544662
2000,6,26,3.43,32.58,8.22,81.56,23.16,1.09,17.14460182
2000,6,27,6.37,33.19,6.64,80.88,23.72,1.27,2.75387454
2000,6,28,4.77,36,8.11,73.81,23.19,1.49,2.901467085
2000,6,29,4.24,28.07,9.56,91.31,24.69,1.38,6.498827934
2000,6,30,5.04,33.02,1.73,81.19,23.3,2.26,0.787665308
2000,7,1,3.9,32.94,1.1,81.12,23.81,1.51,11.47092819
2000,7,2,5.29,32.63,3.5,81.75,23.9,2.01,12.41518688
2000,7,3,6.48,32.12,1.19,84.31,23.78,2.09,0.400556386
2000,7,4,6.57,32.75,15.49,83.12,24.15,1.63,9.506851196
2000,7,5,3.84,33.13,5.47,81.12,23.87,2.44,4.083106518
2000,7,6,4.64,33.53,0.71,80.62,23.73,1.92,6.505520344
2000,7,7,7.38,30.05,1.56,86.94,24.98,1.1,9.83024025
2000,7,8,5.85,33.37,4.21,78.44,24.33,0.84,0.824343383
2000,7,9,6.54,32.38,8.17,80.38,24.99,0.91,1.347172141
2000,7,10,3.89,32.08,17.34,83.06,25.19,1.41,12.18527985
2000,7,11,7.86,31.65,0.3,88.12,24.73,2.33,0
2000,7,12,7.16,31.26,35.91,87.19,25.45,1.75,3.007901669
2000,7,13,4.36,33.8,8.83,78.5,24.26,2.25,13.49972248
2000,7,14,5.62,36.15,14.86,83.44,25.09,1.23,2.062170744
2000,7,15,5.28,34.38,17.88,80.94,24.79,1.49,3.732770681
2000,7,16,6.4,35.11,2.82,79.19,24.48,2.11,0
2000,7,17,6.26,33.15,5.68,81.88,25.73,1.77,0
2000,7,18,7.42,31.05,1.47,85.19,24.78,1.48,2.733552456
2000,7,19,7.18,35.13,10.81,75.62,24.29,1.65,1.803056955
2000,7,20,5.36,31.64,19.55,87.62,24.8,1.66,3.425180197
2000,7,21,6.36,31.8,2.63,81.56,24.59,2.41,0.998640597
2000,7,22,7.04,35.03,0.63,78.38,23.95,1.37,2.411478758
2000,7,23,6.5,34.01,0.84,75.5,24.13,1.12,1.798718691
2000,7,24,5.25,32.82,5.27,81.38,24.9,2.26,3.326324463
2000,7,25,7.27,33.1,3.38,80.56,24.17,1.33,6.080647469
2000,7,26,4.49,31.8,1.54,81.31,24.87,1.5,0.599853396
2000,7,27,5.34,32.28,0.38,79.94,24.43,1.04,6.895143032
2000,7,28,5.82,30.13,1.7,84.94,24.76,1.53,19.8506794
2000,7,29,5.77,31.23,7.37,84.81,24.11,1.59,12.56971931
2000,7,30,6.38,32.98,5.37,82.25,23.44,1.36,3.098199844
2000,7,31,1.97,31.67,31.05,85.06,23.92,2.03,17.5107975
2000,8,1,0.93,28.32,44.6,91.12,24.15,3.11,65.78417206
2000,8,2,1.32,29.81,21.39,87.06,23.54,2.81,36.60783005
2000,8,3,1.89,31.75,8.8,87.12,23.12,1.18,5.560941696
2000,8,4,2.97,32.54,7.36,83.25,23.31,1.87,4.96792984
2000,8,5,6.76,31.19,1.04,84.75,24.28,1.36,1.275530815
2000,8,6,6.53,33.52,0.58,78.25,24.11,0.83,0
2000,8,7,3.55,32.51,5.96,82.25,25.38,0.73,8.416751862
2000,8,8,6.17,29.43,34.84,88.69,24.76,1.99,0.650355458
2000,8,9,1.84,31.71,92.07,88.12,24.62,1.96,28.84529114
2000,8,10,5.27,29.8,9.57,90.12,24.2,1.8,36.35718918
2000,8,11,7.1,29.94,4.31,88.44,23.79,1.93,6.247664928
2000,8,12,5.71,30.73,13.96,88.56,24.15,2.43,10.7487936
2000,8,13,5.44,31.91,2.57,86.19,23.92,1.81,7.912410736
2000,8,14,6,32.89,8.12,83.69,23.92,1.39,9.000283241
2000,8,15,6.31,32.78,17.08,84,24.04,1.67,5.485520363
2000,8,16,5.45,33.26,14.94,83.25,23.93,1.3,27.71702766
2000,8,17,5.81,31.56,1.1,86.44,24.48,1.95,2.243643761
2000,8,18,5.12,33.86,13.65,79.06,23.4,1.09,6.407943249
2000,8,19,4.5,30.3,58.01,88.31,24.68,2.1,49.16058731
2000,8,20,7.23,30.77,1.73,82.06,23.84,1.41,1.941388249
2000,8,21,5.82,29.53,0.75,88.56,23.94,1.45,40.93038177
2000,8,22,6.07,32.8,8.75,83.31,24.01,1.38,0.610306263
2000,8,23,3.26,27.5,17.53,92.81,23.85,2.02,3.404783726
2000,8,24,5.03,30.54,0.26,85.69,23.32,0.87,0
2000,8,25,6.54,33.9,0.17,76.62,24.01,1.45,2.540908098
2000,8,26,4.82,33.92,0.9,77.44,24.78,0.8,0.446343392
2000,8,27,4.19,32.26,12.9,83.81,25.23,0.45,0
2000,8,28,5.8,32.97,5.14,82.94,24.55,0.55,15.56050682
2000,8,29,5.31,32.13,1.35,81.81,24.31,1.28,19.31454849
2000,8,30,4.48,29.36,3.82,89.19,24.25,3.91,9.320590973
2000,8,31,2.45,32.23,10.07,86.06,23.92,1.52,9.281371117
2000,9,1,3.55,27.81,15.41,92,23.77,3.87,28.56427956
2000,9,2,6.46,33.67,9.02,80.06,23.43,2.38,12.28743267
2000,9,3,4.8,31.39,14.89,85.44,24.58,1.91,2.877142906
2000,9,4,1.51,27.87,13.24,90.81,24.15,2.21,17.91819
2000,9,5,5.31,30.84,4.02,78.81,23.44,1.56,5.863803387
2000,9,6,5.39,33.1,1.67,81.62,23.1,1.57,1.062403917
2000,9,7,4.69,30.99,0.23,86.69,24.31,1.94,7.554188728
2000,9,8,5.35,30.2,2.43,84.62,23.8,1.97,20.34999847
2000,9,9,5.23,31.24,4.49,86,23.55,1.41,0.44837445
2000,9,10,5.3,28.48,1.82,90.56,24.08,2.08,11.09524918
2000,9,11,4.98,32,0.18,85.25,24.01,1.74,2.596916676
2000,9,12,4.95,30.34,0.04,87.81,23.69,1.51,7.942681789
2000,9,13,6.7,31.87,3.22,83.62,23.72,2.62,11.54514313
2000,9,14,3.13,34.05,4.22,81.44,23.59,1.36,1.315506697
2000,9,15,3.6,28.48,9.58,91.5,23.25,1.05,45.79456329
2000,9,16,1.2,30.4,19.42,91.25,22.8,1.88,15.91721439
2000,9,17,1.4,25.23,21.3,92.75,21.7,1.26,31.4365406
2000,9,18,4.32,28.48,18.71,90.62,20.83,2.2,18.69399643
2000,9,19,4.44,32,2.18,78.38,21.41,0.98,13.52597141
2000,9,20,5.62,29.94,1.72,83.38,22.14,1,3.056994915
2000,9,21,4.47,30.16,1.18,79.44,20.63,0.79,0.163962871
2000,9,22,3.7,27.9,0.81,88.88,20.7,1.58,1.94861114
2000,9,23,3.96,30.9,3.72,83.12,21.16,1.71,3.554398775
2000,9,24,4.69,28.39,8.65,89.31,21.28,1.2,1.329628229
2000,9,25,4.74,30.1,10.64,86.62,21.45,1.94,9.231511116
2000,9,26,5.8,30.64,2.01,84.62,21.13,1.35,1.017656088
2000,9,27,5.4,30.68,2.52,83.06,22.34,0.86,0.787051558
2000,9,28,5.31,31.17,0.15,78.69,20.42,0.8,0.538121104
2000,9,29,6.16,30.69,0,81,19.64,1.16,0
2000,9,30,5.82,29.68,0.18,84.06,21.31,2.16,0
2000,10,1,4.36,28.65,0.58,86.25,21.83,2.34,1.290685773
2000,10,2,4.9,28.95,2.51,87.56,21.18,2.56,4.485415936
2000,10,3,5.96,30.58,0.16,80.12,21.48,2.59,1.669717908
2000,10,4,5.49,29.48,0.89,87.94,22.19,1.09,0.707757771
2000,10,5,4.97,31.33,1.4,83.31,21.08,1.23,1.147740126
2000,10,6,5.36,31.6,0.18,81.38,21.58,0.96,0
2000,10,7,4.58,31.84,3.14,82.56,21.08,1.34,0
2000,10,8,3.72,30.96,0.83,84.25,21.36,1.35,0
2000,10,9,5.15,28.9,6.3,87.19,21.41,1.38,11.47724724
2000,10,10,4.48,31.73,3.4,77.81,20.74,1.44,17.59143639
2000,10,11,4.87,31.5,0.05,80.31,21.39,1.58,0.595701158
2000,10,12,5.7,31.4,0.01,78.69,20.37,1.29,0
2000,10,13,5.34,30.71,0,80.31,20.19,1.12,0
2000,10,14,5.8,30.68,0,79.75,20.18,0.71,0.366626441
2000,10,15,5.9,29.79,0.03,82.81,20.87,1.73,0.838032484
2000,10,16,5.87,30.78,0.01,80.75,19.63,1.52,0
2000,10,17,5.89,32.64,0.27,78.94,21.55,1.18,0
2000,10,18,5.76,31.46,0.39,82.62,21.99,1.28,1.94933641
2000,10,19,5.56,30.78,0.47,84.5,20.77,0.83,0
2000,10,20,3.46,29.83,3.05,80.12,18.83,1.43,0.669489563
2000,10,21,5.23,30.1,0.21,77.12,18.98,1.61,0
2000,10,22,4.41,28.83,1.33,80.5,20.21,0.84,0
2000,10,23,4.67,30.41,1.16,73.5,19.25,1.43,4.497274399
2000,10,24,5.34,29.12,0.05,79,17.94,1.16,0
2000,10,25,5.47,28.58,0,80.31,17.01,1.39,0
2000,10,26,5.49,29.11,0.4,72.31,17.69,1.55,0
2000,10,27,3.11,27.12,2.59,84.38,17.34,1.73,0
2000,10,28,0.33,21.22,52.54,93.69,17.51,3.98,20.52866554
2000,10,29,4.05,27.12,1.46,84.81,16.1,1.79,27.3323555
2000,10,30,5.43,27.48,0.38,81.19,15.2,0.98,1.997281194
2000,10,31,5.31,27.11,0,81.62,15.39,0.66,0
2000,11,1,5.23,27.48,0,78.94,15.37,1.02,0
2000,11,2,5.27,28.02,0,74,15.43,1.98,0
2000,11,3,5.2,28.5,0,75.88,16.5,1.15,0
2000,11,4,5.14,28.65,0,77.31,16.32,0.88,0
2000,11,5,4.87,27.53,0,80.06,15.98,1.45,0
2000,11,6,4.59,26.01,0.71,81,15.5,1.73,0
2000,11,7,4.08,26.51,0.01,80.06,15.81,1.52,0
2000,11,8,5,27.16,0.02,78,14.92,1.39,0
2000,11,9,4.84,27.75,0,80.81,14.97,1.37,0
2000,11,10,3.91,27.29,0.04,82.25,15.87,1.27,0
2000,11,11,1.4,26.68,0,80.31,15.92,1.62,0
2000,11,12,1.96,27.01,6.5,79.5,14.8,1.57,0
2000,11,13,2.78,26.99,0.26,77.5,13.73,1.51,3.96252799
2000,11,14,1.5,25.57,0.08,81.56,14.02,1.97,1.497960806
2000,11,15,3.57,24.44,0.01,87.06,14.62,1.16,0
2000,11,16,4.69,25.07,0,83.12,12.99,1.74,0
2000,11,17,4.51,24.98,0,77.62,13.28,1.63,0
2000,11,18,4.42,27.44,0,77.06,13.27,1.59,0
2000,11,19,3.43,25.1,2.41,86.5,15.05,1.11,0
2000,11,20,2.6,28.12,0.58,81.19,15.32,1.88,1.997281194
2000,11,21,3.86,24.26,0,84,14.29,0.87,0
2000,11,22,4.19,25.3,0,77,13.16,1.62,0
2000,11,23,4.47,24.81,0,79,12.74,1.16,0
2000,11,24,4.29,24.05,0,82.31,13.53,1.74,0
2000,11,25,4.06,23.33,0,85.62,12.75,0.68,0
2000,11,26,4.49,24.27,0,79.12,11.95,1.41,0
2000,11,27,4.56,25.37,0,74.88,11.93,1.7,0
2000,11,28,4.59,27.02,0,73.75,11.84,1.8,0
2000,11,29,4.49,23.91,0.01,75.75,12.49,2.03,0
2000,11,30,3.52,23.88,0,76.31,11.94,1.88,0
2000,12,1,4.26,23.08,0,80.5,11.46,1.81,0
2000,12,2,4.29,22.8,0.06,77.69,10.37,1.03,0
2000,12,3,4.58,21.98,0,77.31,8.83,1.64,0
2000,12,4,4.46,22.51,0,60.44,8.2,2.53,0
2000,12,5,4.43,24.05,0,69.75,8.9,1.84,0
2000,12,6,4.18,21.87,0,74.12,9.26,1.91,0
2000,12,7,4.38,21.8,0,76.12,8.53,0.91,0
2000,12,8,4.38,22.8,0,75.62,8.8,1.69,0
2000,12,9,4.15,21.53,0,82.5,9.27,1.34,0
2000,12,10,4.11,22.36,0,76.94,9.78,1.35,0
2000,12,11,3.73,21.83,0.27,79.19,9.25,1.44,0
2000,12,12,4.05,21.94,1.86,82.06,9.66,1.46,3.228726387
2000,12,13,4.32,21.98,0,79.94,9.46,1.18,0
2000,12,14,4.43,21.62,0,72.5,9.72,2.06,0
2000,12,15,4.3,21.95,0,74.06,8.69,1.8,0
2000,12,16,4.17,21.53,0,76.75,8.29,1.34,0
2000,12,17,4.22,21.91,0,71.75,8.95,1.65,0
2000,12,18,4.27,22.17,0,77.94,9.02,1.67,0
2000,12,19,3.7,21.09,0,79.25,9.06,1.71,0
2000,12,20,4.04,22.62,0,78.19,8.49,1.04,0
2000,12,21,4.16,23.39,0,74.06,9.26,1.48,0
2000,12,22,4.18,22.69,0,74.44,9.31,1.38,0
2000,12,23,4.21,23.4,0,73.69,9.46,1.08,0
2000,12,24,4.2,24.69,0,64.88,10.4,2.3,0
2000,12,25,4.39,24.08,0,69.44,10.45,1.56,0
2000,12,26,4.23,23.68,0,66.19,9.98,1.83,0
2000,12,27,4.17,22.78,0,68.62,9.34,1.18,0
2000,12,28,4.09,22.47,0,66.56,8.78,1.64,0
2000,12,29,3.78,21.8,0,77,8.9,1.98,0
2000,12,30,3.8,21.55,0,77.06,8.42,1.56,0
2000,12,31,4.09,22.94,0,73.12,8.08,1.44,0
2001,1,1,2.29,21.67,0.03,79.31,10.02,1.63,0
2001,1,2,3.67,22.83,0,79.62,11.12,1.33,0
2001,1,3,3.57,24.82,0,84.69,10.25,2.6,0
2001,1,4,3.01,21.94,0,82.56,9.69,1.77,0
2001,1,5,2.84,19.94,0.17,80.88,8.01,1.37,0
2001,1,6,3.42,19.66,0,77.31,6.78,1.76,0
2001,1,7,3.83,19.76,0,77.75,6.1,1.88,0
2001,1,8,3.83,20.11,0,79.19,6.24,1.75,0
2001,1,9,3.17,19.97,0,76.81,6.71,1.88,0
2001,1,10,3.43,19.35,0,77.5,6.83,1.7,0
2001,1,11,3.58,19.01,0,77.25,5.44,1.52,0
2001,1,12,3.62,18.18,0,73.75,6.21,1.96,0
2001,1,13,3.85,20.25,0,74.5,6.71,1.93,0
2001,1,14,3.61,21.04,0,70.31,7.69,1.62,0
2001,1,15,3.98,21.12,0,72.62,7.39,1.78,0
2001,1,16,4.16,22.18,0,71.19,7.65,1.54,0
2001,1,17,4.24,22,0,72,8.12,1.31,0
2001,1,18,4.29,22.01,0,69.12,7.51,1.44,0
2001,1,19,4.38,21.9,0,68.69,7.73,1.79,0
2001,1,20,4.3,23.46,0,69.94,7.94,1.52,0
2001,1,21,4.42,21.84,0,73.5,8.25,1.73,0
2001,1,22,3.91,22.8,0,69.38,7.44,2.42,0
2001,1,23,1.66,21.46,1.36,71.31,8.42,1.23,1.398915768
2001,1,24,3.3,20.99,0,68.94,8.58,2.17,0.732932687
2001,1,25,2.65,20.07,0,65.88,5.64,1.98,0
2001,1,26,3.62,19.52,0,70.94,4.75,1.87,0
2001,1,27,3.52,19.58,0,71,5.55,1.79,0
2001,1,28,3.71,22.3,0,73,6.13,1.95,0
2001,1,29,3.93,22.94,0,74.75,7.51,1.48,0
2001,1,30,3.96,21.62,0,72.88,9.16,1.95,0
2001,1,31,3.48,22.32,0,69.25,10.25,1.63,0
2001,2,1,2.44,24.25,0,65.06,9.59,1.49,0
2001,2,2,3.02,23.58,0,67.62,10.35,2.09,0
2001,2,3,3.62,23.59,0,61.75,8.35,2.32,0
2001,2,4,4.57,25.19,0,59.94,6.59,2.31,0
2001,2,5,4.57,23.93,0,57.38,6.55,2.27,0
2001,2,6,4.34,24.94,0,58.38,8.25,2.5,0
2001,2,7,4.45,23.39,0,59.56,8.07,2.48,0
2001,2,8,4.4,24.11,0,63.62,7.83,2.23,0
2001,2,9,4.26,23.78,0,59.75,8.57,2.37,0
